collection_priority,batch_id,gap_type,county,local_area,region_label,gics_sector,missing_fields,gics_industry_group,company_count,director_50_plus_count,director_55_plus_count,director_60_plus_count,director_65_plus_count,director_70_plus_count,source_note,source_url,source_date,approved_by,cro_address_count_url,cro_address_search_url,director_age_required,acceptance_rule,recommended_source,next_action
81,dublin-company-081,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Blanchardstown%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Blanchardstown%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
82,dublin-company-082,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Blanchardstown%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Blanchardstown%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
83,dublin-company-083,missing_row,Dublin,Blanchardstown / West Dublin,Dublin / Blanchardstown / West Dublin,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Blanchardstown%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Blanchardstown%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
84,dublin-company-084,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
85,dublin-company-085,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
86,dublin-company-086,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Health Care,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
87,dublin-company-087,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Information Technology,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
88,dublin-company-088,missing_row,Dublin,Tallaght / South West,Dublin / Tallaght / South West,Financials,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Tallaght%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
89,dublin-company-089,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Consumer Discretionary,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
90,dublin-company-090,missing_row,Dublin,Dun Laoghaire / South County,Dublin / Dun Laoghaire / South County,Consumer Staples,gics_industry_group; company_count; director_50_plus_count; director_55_plus_count; director_60_plus_count; director_65_plus_count; director_70_plus_count; source_note; source_url; source_date; approved_by,,,,,,,,,,,,https://services.cro.ie/cws/companycount?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json,https://services.cro.ie/cws/companies?company_bus_ind=C&address=Dun+Laoghaire%2C+Dublin&format=json&skip=0&max=250&sortBy=company_name&sortDir=asc,CRO Open Services address search does not expose director-age bands; use an approved backend/director export or CRO account-holder data for all director thresholds.,"Approve only when company_count and all five director-age threshold counts come from an approved backend/director/CRO account-holder export and source_note, source_url, source_date, and approved_by are filled.",CRO Open Services plus approved backend/director export,"Run CRO companycount/address search for the local-area baseline, then attach an approved backend/director export with director-age threshold counts before merge."
